Running: GeneticAlgorithm...
Fitness provider: TanhFitnessProvider
Default arguments: {'epochs': 100, 'population_size': 100, 'min_acceptable_fitness': 0, 'elite_pct': 10, 'mateable_pct': 50, 'mutable_pct': 20}

Generation		Fitness
0		0.8333493326243061
1		0.8333493326243061
2		0.8333493326243061
3		0.8333493326243061
4		0.8333493326243061
5		0.8333493326243061
6		0.8271360261507229
7		0.8271360261507229
8		0.8271360261507229
9		0.8244323919895232
10		0.8128932467573772
11		0.8117026482228881
12		0.8117026482228881
13		0.8087828938827835
14		0.8087828938827835
15		0.8084367438073445
16		0.8058227180270021
17		0.8058227180270021
18		0.803708623400539
19		0.8022878536436613
20		0.8003193492036692
21		0.7985146980598076
22		0.7957805679239378
23		0.7944934216718652
24		0.7939395917615267
25		0.7939395917615267
26		0.7907762105510507
27		0.7907762105510507
28		0.7907762105510507
29		0.7885174828580043
30		0.7875700166496489
31		0.7875700166496489
32		0.7852808259187326
33		0.784320607755795
34		0.7833566166081782
35		0.7816118921982312
36		0.7800506881019958
37		0.776700628590347
38		0.7763035842045237
39		0.7763035842045237
40		0.775706860676419
41		0.7729037335620444
42		0.7729037335620444
43		0.7708828415345883
44		0.7688463106489329
45		0.7688463106489329
46		0.765968743345802
47		0.7653480928866856
48		0.7628512031301224
49		0.7628512031301224
50		0.759274604402662
51		0.7571490423135322
52		0.7524158334227575
53		0.7524158334227575
54		0.750893283625167
55		0.750893283625167
56		0.7487042869693086
57		0.7482645159667906
58		0.7444998103499595
59		0.7433834347411962
60		0.7433834347411962
61		0.7422629019394504
62		0.7400093280758004
63		0.7388762687642881
64		0.7388762687642881
65		0.7349924443354202
66		0.7349924443354202
67		0.7298937805323135
68		0.7298937805323135
69		0.7298937805323135
70		0.7258974148490808
71		0.7230465949835208
72		0.7230465949835208
73		0.7218514280162288
74		0.7189653797651911
75		0.7189653797651911
76		0.716054324313046
77		0.7148339767559908
78		0.7118872994918201
79		0.7118872994918201
80		0.7076695392052359
81		0.7076695392052359
82		0.7071699820270757
83		0.7071699820270757
84		0.7071699820270757
85		0.7071699820270757
86		0.7071699820270757
87		0.704661580516532
88		0.7041577736141557
89		0.7036532566929573
90		0.7028951489525492
91		0.7011200046764714
92		0.6998466986307332
93		0.6993361268805544
94		0.6972866889002421
95		0.6959999703679358
96		0.6915915318656426
97		0.6915915318656426
98		0.6915915318656426
99		0.6910694698329305

Human Readable Schedule successfully saved to /home/alu/Documents/IUB-Semesters/Sem-8-Autumn-19/AI/Project/UCSPy-Engine/data/schedules/sch-str-2020-09-01T00-28-40.csv
Numeric Schedule successfully saved to /home/alu/Documents/IUB-Semesters/Sem-8-Autumn-19/AI/Project/UCSPy-Engine/data/schedules/sch-num-2020-09-01T00-28-40.csv
Time taken: 88.22213138300049 s
